ID,SMILES,vdW_vol,LogP_JC_cap,pKa_cap
2,NCC(=O)O,69.08918286,-1.911895502,13.19672582
3,CCCC(NC)C(=O)O,138.2731214,-0.152364134,15.90699121
5,CCNC(CC)C(=O)O,138.2731214,-0.240124844,15.90696355
7,CCCNC(C)C(=O)O,138.2731214,-0.240124844,15.91131608
11,CC(C)CNCC(=O)O,138.2731214,-0.44391626,15.96279905
13,CCC(C)NCC(=O)O,138.2731214,-0.392314062,15.96261308
17,CNC(C(=O)O)C(C)C,138.2731214,-0.231959973,15.90274051
19,CC(C)NC(C)C(=O)O,138.2731214,-0.346072215,15.91113139
23,CC(C)(C)NCC(=O)O,138.2731214,-0.634259789,15.96242694
29,CCCCNCC(=O)O,138.2731214,-0.364320422,15.96280214
31,C=CC(NCC)C(=O)O,135.6366627,-0.388205371,15.77536036
37,C=CCC(NC)C(=O)O,135.6366627,-0.45635212,15.84008322
41,C=CCNC(C)C(=O)O,135.6366627,-0.388205371,15.84934844
43,C=CNC(CC)C(=O)O,135.6366627,-0.092258399,15.83719107
47,C=CC(C)NCC(=O)O,135.6366627,-0.540394588,15.90065621
53,C=CCCNCC(=O)O,135.6366627,-0.668308408,15.90104851
59,CC=CCNCC(=O)O,135.6366627,-0.570334618,15.90084377
61,CCC=CNCC(=O)O,135.6366627,-0.352341377,15.88475218
67,C=C(C)CNCC(=O)O,135.6366627,-0.713608341,15.90084085
71,C=C(CC)NCC(=O)O,135.6366627,-0.588683265,15.8843771
73,CC=CC(NC)C(=O)O,135.6366627,-0.358378331,15.77533283
79,CC=CNC(C)C(=O)O,135.6366627,-0.228145799,15.84266968
83,C=C(C)C(NC)C(=O)O,135.6366627,-0.501652054,15.77110888
89,C=C(C)NC(C)C(=O)O,135.6366627,-0.542441417,15.84250454
97,CC(C)=CNCC(=O)O,135.6366627,-0.55354877,15.88474025
101,CC=C(C)NCC(=O)O,135.6366627,-0.724570665,15.88437787
